genre_name,coordinate_top,coordinate_left,estimated_mood
rock catala,11056,694,Atmospheric/Calm
neue deutsche welle,7002,841,Atmospheric/Calm
fourth world,16248,386,Deep/Acoustic
native american traditional,16577,479,Atmospheric/Calm
music box,15194,973,Atmospheric/Calm
bgm,17504,953,Atmospheric/Calm
samba paulista,12934,870,Atmospheric/Calm
viking folk,11355,425,Atmospheric/Calm
neomelodici,7731,686,Atmospheric/Calm
comedy,19638,1004,Atmospheric/Calm
chicago house,828,1266,Atmospheric/Calm
tropical alternativo,4997,973,Atmospheric/Calm
vietnamese trap,6362,1077,Atmospheric/Calm
musica angolana,7311,990,Atmospheric/Calm
samba-rock,11105,905,Atmospheric/Calm
brega romantico,7533,881,Atmospheric/Calm
korean instrumental,20492,858,Atmospheric/Calm
halloween,13274,321,Deep/Acoustic
trap pesado,5064,1164,Atmospheric/Calm
theme,14019,422,Atmospheric/Calm
persian hip hop,9516,980,Atmospheric/Calm
rap underground mexicano,7496,1106,Atmospheric/Calm
narodna muzika,11747,581,Atmospheric/Calm
swedish indie folk,14786,542,Atmospheric/Calm
trap dominicano,8446,1143,Atmospheric/Calm
contemporary classical,21803,329,Deep/Acoustic
southern americana,12770,549,Atmospheric/Calm
fotbollslatar,8766,788,Atmospheric/Calm
texas blues,18235,1015,Atmospheric/Calm
huzunlu sarkilar,11477,837,Atmospheric/Calm
malayalam pop,10824,808,Atmospheric/Calm
electrofox,2265,877,Atmospheric/Calm
partido alto,12973,911,Atmospheric/Calm
rap nacional antigo,7310,1134,Atmospheric/Calm
italian pop rock,6928,604,Atmospheric/Calm
murcia indie,6837,499,Atmospheric/Calm
german trance,1667,837,Atmospheric/Calm
reggae tuga,4939,1055,Atmospheric/Calm
concepcion indie,8861,404,Atmospheric/Calm
canadian folk,13812,663,Atmospheric/Calm
pop quebecois,9278,612,Atmospheric/Calm
uk melodic rap,11464,1058,Atmospheric/Calm
piano worship,18177,746,Atmospheric/Calm
new jersey punk,10196,296,Deep/Acoustic
instrumental post-rock,11161,225,Deep/Acoustic
nordic house,2278,864,Atmospheric/Calm
australian alternative pop,7507,692,Atmospheric/Calm
dutch metal,8431,188,Deep/Acoustic
volkspop,7496,915,Atmospheric/Calm
kavkaz,4160,905,Atmospheric/Calm
polish indie,7594,618,Atmospheric/Calm
no beat,4267,1384,Atmospheric/Calm
japanese new wave,5829,586,Atmospheric/Calm
cologne indie,6803,586,Atmospheric/Calm
new jersey underground rap,10635,1094,Atmospheric/Calm
reggae do maranhao,5653,1180,Atmospheric/Calm
french tech house,248,1386,Hyper/Electronic
minimal melodic techno,1540,1126,Atmospheric/Calm
japanese pop punk,5827,257,Deep/Acoustic
lagu timur,6977,921,Atmospheric/Calm
slc indie,7409,443,Atmospheric/Calm
mizrahi,8383,612,Atmospheric/Calm
musica costena,10833,1112,Atmospheric/Calm
entehno,15095,607,Atmospheric/Calm
lustrum,11653,1153,Atmospheric/Calm
balkan hip hop,9152,1071,Atmospheric/Calm
hip hop quebecois,10258,1032,Atmospheric/Calm
cowboy western,17241,860,Atmospheric/Calm
uk experimental electronic,8840,627,Atmospheric/Calm
malaysian mandopop,11569,588,Atmospheric/Calm
welsh metal,7310,240,Deep/Acoustic
reggae cristao,7643,815,Atmospheric/Calm
indonesian emo,6592,258,Deep/Acoustic
metallic hardcore,9562,262,Deep/Acoustic
belgian indie,8999,526,Atmospheric/Calm
rochester mn indie,11120,481,Atmospheric/Calm
liedermacher,14847,927,Atmospheric/Calm
victoria bc indie,10855,515,Atmospheric/Calm
japanese viral pop,4701,834,Atmospheric/Calm
bay area indie,11502,484,Atmospheric/Calm
trap peruano,8927,1114,Atmospheric/Calm
ska chileno,5472,872,Atmospheric/Calm
marathi pop,10873,872,Atmospheric/Calm
trap antillais,8127,1121,Atmospheric/Calm
laboratorio,18206,437,Atmospheric/Calm
chillsynth,3945,736,Atmospheric/Calm
minimalism,20923,354,Deep/Acoustic
chalga,3644,943,Atmospheric/Calm
dutch cabaret,16436,909,Atmospheric/Calm
brega funk,4518,1275,Atmospheric/Calm
chicago blues,17504,1004,Atmospheric/Calm
hungarian rock,5938,486,Atmospheric/Calm
trap tuga,11926,1071,Atmospheric/Calm
barnemusikk,13721,927,Atmospheric/Calm
birmingham grime,11228,1070,Atmospheric/Calm
parody,12055,945,Atmospheric/Calm
nuevo folklore mexicano,13850,799,Atmospheric/Calm
rap tunisien,10432,1055,Atmospheric/Calm
future rock,2482,390,Deep/Acoustic
jamaican hip hop,11566,1115,Atmospheric/Calm
mantra,14601,845,Atmospheric/Calm
classic iskelma,14132,711,Atmospheric/Calm
new weird america,15771,501,Atmospheric/Calm
colombian rock,6493,692,Atmospheric/Calm
brazilian punk,9908,350,Deep/Acoustic
big band,19608,935,Atmospheric/Calm
japanese old school hip hop,4330,1045,Atmospheric/Calm
kermis,12734,591,Atmospheric/Calm
dong-yo,11667,1051,Atmospheric/Calm
diy emo,8025,341,Deep/Acoustic
plug brasileiro,6121,1056,Atmospheric/Calm
uk garage,2374,1155,Atmospheric/Calm
italian soundtrack,17826,310,Deep/Acoustic
australian indigenous music,10588,670,Atmospheric/Calm
deathgrind,10746,136,Deep/Acoustic
neo classical metal,7608,225,Deep/Acoustic
taiwan hip hop,5440,1004,Atmospheric/Calm
neoclassicism,21852,372,Deep/Acoustic
ambeat,6404,957,Atmospheric/Calm
peruvian hip hop,10587,1125,Atmospheric/Calm
south african gospel,12376,510,Atmospheric/Calm
swedish country,9503,588,Atmospheric/Calm
symphonic deathcore,6015,143,Deep/Acoustic
lagu melayu,6258,490,Atmospheric/Calm
thai folk rock,7411,686,Atmospheric/Calm
shanty,16260,854,Atmospheric/Calm
scandinavian r&b,7115,905,Atmospheric/Calm
kwaito,4381,1071,Atmospheric/Calm
australian indie rock,6952,429,Atmospheric/Calm
east coast reggae,7950,1004,Atmospheric/Calm
emoplugg,5128,607,Atmospheric/Calm
finnish trap,4086,1075,Atmospheric/Calm
indonesian punk,5505,315,Deep/Acoustic
rock baiano,10701,753,Atmospheric/Calm
brisbane indie,7383,374,Deep/Acoustic
greek underground rap,10408,1005,Atmospheric/Calm
musica tamaulipeca,12660,971,Atmospheric/Calm
british children's music,12314,1064,Atmospheric/Calm
progressive deathcore,5676,190,Deep/Acoustic
arab alternative,10387,739,Atmospheric/Calm
melodic techno,714,1263,Atmospheric/Calm
pinoy pop punk,6753,341,Deep/Acoustic
swancore,5878,272,Deep/Acoustic
gregorian dance,6604,460,Atmospheric/Calm
assamese pop,12128,753,Atmospheric/Calm
future funk,2905,866,Atmospheric/Calm
electro jazz,4670,971,Atmospheric/Calm
grime brasileiro,10333,1068,Atmospheric/Calm
guaracha,1207,1316,Atmospheric/Calm
romanian rap,9619,1084,Atmospheric/Calm
czsk emo rap,6779,977,Atmospheric/Calm
wrestling,4705,624,Atmospheric/Calm
deep comedy,19533,1062,Atmospheric/Calm
uk contemporary jazz,11857,786,Atmospheric/Calm
latin viral rap,10420,1021,Atmospheric/Calm
strut,2849,982,Atmospheric/Calm
bergen indie,7768,554,Atmospheric/Calm
tagalog worship,14968,416,Atmospheric/Calm
country gospel,17329,893,Atmospheric/Calm
dark cabaret,12697,549,Atmospheric/Calm
folclore salteno,16172,975,Atmospheric/Calm
progressive psytrance,701,1148,Atmospheric/Calm
dark wave,4471,443,Atmospheric/Calm
ska revival,11865,1023,Atmospheric/Calm
corridos belicos,12798,957,Atmospheric/Calm
new comedy,19638,1075,Atmospheric/Calm
russian edm,1856,864,Atmospheric/Calm
ecuadorian pop,8372,975,Atmospheric/Calm
roda de samba,12648,858,Atmospheric/Calm
fado,17797,726,Atmospheric/Calm
post-screamo,3156,253,Deep/Acoustic
vintage french electronic,13392,573,Atmospheric/Calm
carnaval cadiz,12191,837,Atmospheric/Calm
pastoral,17074,394,Deep/Acoustic
acoustic rock,13700,624,Atmospheric/Calm
rock independant francais,6916,549,Atmospheric/Calm
texas pop punk,4267,335,Deep/Acoustic
alternative roots rock,11514,458,Atmospheric/Calm
japanese post-hardcore,7236,207,Deep/Acoustic
nova musica pernambucana,10448,793,Atmospheric/Calm
slovak hip hop,8298,1013,Atmospheric/Calm
musica sinaloense,13479,1062,Atmospheric/Calm
comedy rock,15546,1171,Atmospheric/Calm
colombian indie,7090,797,Atmospheric/Calm
volksmusik,7817,627,Atmospheric/Calm
belo horizonte indie,10954,731,Atmospheric/Calm
ostrock,9429,718,Atmospheric/Calm
israeli hip hop,7347,1000,Atmospheric/Calm
vbs,10258,783,Atmospheric/Calm
xtra raw,3039,503,Atmospheric/Calm
musica per bambini,8248,931,Atmospheric/Calm
louvor,14574,566,Atmospheric/Calm
french jazz,18732,971,Atmospheric/Calm
hard bass,1454,1070,Atmospheric/Calm
world devotional,15571,445,Atmospheric/Calm
industrial hip hop,6396,734,Atmospheric/Calm
russian hyperpop,7299,583,Atmospheric/Calm
japanese metalcore,4771,214,Deep/Acoustic
german oi,7633,358,Deep/Acoustic
nepali pop,10337,718,Atmospheric/Calm
sinhala pop,10575,819,Atmospheric/Calm
darksynth,2542,452,Atmospheric/Calm
korean indie rock,7174,466,Atmospheric/Calm
gregorian chant,20355,408,Atmospheric/Calm
mambo,16394,1005,Atmospheric/Calm
deep talent show,9819,544,Atmospheric/Calm
miami bass,1826,1237,Atmospheric/Calm
vietnamese singer-songwriter,13725,630,Atmospheric/Calm
classic thai pop,8399,744,Atmospheric/Calm
argentine punk,8506,342,Deep/Acoustic
samba reggae,8076,911,Atmospheric/Calm
turkish soundtrack,13788,441,Atmospheric/Calm
musica andina,15285,929,Atmospheric/Calm
chinese idol pop,5085,751,Atmospheric/Calm
kansas city hip hop,9631,1038,Atmospheric/Calm
steampunk,9999,588,Atmospheric/Calm
experimental ambient,15751,294,Deep/Acoustic
deathgrass,12500,549,Atmospheric/Calm
drain,7805,596,Atmospheric/Calm
russian viral rap,4004,1119,Atmospheric/Calm
j-ambient,16014,441,Atmospheric/Calm
banjo,16318,885,Atmospheric/Calm
cancion infantil mexicana,12289,1013,Atmospheric/Calm
solfeggio product,19462,134,Deep/Acoustic
slamming deathcore,6653,172,Deep/Acoustic
classic polish pop,15225,741,Atmospheric/Calm
turkce kadin rap,5187,1026,Atmospheric/Calm
norwegian rock,9786,374,Deep/Acoustic
jungle,1651,1023,Atmospheric/Calm
ecm-style jazz,18995,593,Atmospheric/Calm
abstract beats,7827,939,Atmospheric/Calm
cello,14565,344,Deep/Acoustic
ukrainian phonk,2412,937,Atmospheric/Calm
saxophone house,2805,847,Atmospheric/Calm
south african trap,9957,1032,Atmospheric/Calm
nottingham hip hop,10957,1071,Atmospheric/Calm
reggae cover,4583,1004,Atmospheric/Calm
old school bassline,2277,1155,Atmospheric/Calm
polish alternative rock,6754,477,Atmospheric/Calm
rock quebecois,9934,481,Atmospheric/Calm
indonesian ska,5114,856,Atmospheric/Calm
australian r&b,7014,854,Atmospheric/Calm
emo mexicano,6210,339,Deep/Acoustic
islamic recitation,21333,808,Atmospheric/Calm
english baroque,20727,402,Atmospheric/Calm
uk tech house,146,1399,Hyper/Electronic
australian post-hardcore,3682,190,Deep/Acoustic
synthesizer,11563,388,Deep/Acoustic
deep new americana,12117,593,Atmospheric/Calm
russian underground rap,12697,984,Atmospheric/Calm
dark rock,4099,298,Deep/Acoustic
dark post-punk,2440,408,Atmospheric/Calm
old school dancehall,6286,1210,Atmospheric/Calm
doom metal,10892,149,Deep/Acoustic
musica poblana,4111,1148,Atmospheric/Calm
italian tenor,21583,333,Deep/Acoustic
canadian classical,21145,255,Deep/Acoustic
classical tenor,21730,264,Deep/Acoustic
swedish americana,14020,479,Atmospheric/Calm
swedish melodic rock,4734,310,Deep/Acoustic
dangdut remix,3532,973,Atmospheric/Calm
crossover thrash,10855,240,Deep/Acoustic
russian rave,2776,907,Atmospheric/Calm
musica potosina,12562,1081,Atmospheric/Calm
sacramento hip hop,9332,1117,Atmospheric/Calm
german indie folk,12376,700,Atmospheric/Calm
north east england indie,8714,475,Atmospheric/Calm
punk rock mexicano,7780,392,Deep/Acoustic
psicodelia brasileira,12896,716,Atmospheric/Calm
josei rap,4909,1011,Atmospheric/Calm
japanese instrumental,16051,839,Atmospheric/Calm
bakersfield sound,14711,834,Atmospheric/Calm
korean old school hip hop,5363,1071,Atmospheric/Calm
korean talent show,13775,454,Atmospheric/Calm
chinese hip hop,6967,1007,Atmospheric/Calm
tex-mex,9767,1034,Atmospheric/Calm
anime cv,4909,473,Atmospheric/Calm
city pop,6148,793,Atmospheric/Calm
deutschrock,5678,356,Deep/Acoustic
drill brasileiro,9805,1058,Atmospheric/Calm
kawaii metal,4112,214,Deep/Acoustic
canadian metalcore,5126,183,Deep/Acoustic
groove gospel,10183,559,Atmospheric/Calm
jewish pop,9365,583,Atmospheric/Calm
orgcore,8432,285,Deep/Acoustic
classic belgian pop,8638,724,Atmospheric/Calm
brazilian metal,8705,244,Deep/Acoustic
ballet class,18802,998,Atmospheric/Calm
musica catalana,7029,810,Atmospheric/Calm
kindie rock,12784,990,Atmospheric/Calm
musica neoleonesa,12053,1106,Atmospheric/Calm
indian fusion,12438,756,Atmospheric/Calm
carnatic,19048,765,Atmospheric/Calm
popwave,2762,556,Atmospheric/Calm
nottingham indie,10724,458,Atmospheric/Calm
psychedelic pop,10061,506,Atmospheric/Calm
battle rap,10882,996,Atmospheric/Calm
classic j-rock,7249,530,Atmospheric/Calm
indonesian post-hardcore,5615,292,Deep/Acoustic
nightrun,2747,348,Deep/Acoustic
albuquerque indie,9561,621,Atmospheric/Calm
irish country,14008,544,Atmospheric/Calm
portuguese rock,10831,609,Atmospheric/Calm
roots americana,11144,604,Atmospheric/Calm
brazilian indie,9431,856,Atmospheric/Calm
glam punk,8454,274,Deep/Acoustic
brazilian emo,7915,370,Deep/Acoustic
brit funk,4793,947,Atmospheric/Calm
alabama indie,11318,460,Atmospheric/Calm
western swing,17278,911,Atmospheric/Calm
cumbia lagunera,8001,1126,Atmospheric/Calm
malaysian indie,7594,458,Atmospheric/Calm
post-metal,10697,133,Deep/Acoustic
french metal,7383,212,Deep/Acoustic
classic norwegian pop,13884,689,Atmospheric/Calm
australian singer-songwriter,13983,556,Atmospheric/Calm
8d,14641,242,Deep/Acoustic
blackened deathcore,6964,127,Deep/Acoustic
tololoche,13528,1070,Atmospheric/Calm
classic persian pop,15796,596,Atmospheric/Calm
flamenco fusion,9619,963,Atmospheric/Calm
double drumming,11246,358,Deep/Acoustic
brazilian soul,10283,891,Atmospheric/Calm
west coast reggae,7372,937,Atmospheric/Calm
k-pop ballad,13896,609,Atmospheric/Calm
manila sound,13800,573,Atmospheric/Calm
canadian children's music,14107,1062,Atmospheric/Calm
jazz quartet,18644,883,Atmospheric/Calm
afro house,1134,1252,Atmospheric/Calm
singaporean singer-songwriter,13207,581,Atmospheric/Calm
sertanejo gospel,7756,739,Atmospheric/Calm
traditional country,17926,901,Atmospheric/Calm
dabke,11808,724,Atmospheric/Calm
lithuanian pop,4968,851,Atmospheric/Calm
christian uplift,10944,370,Deep/Acoustic
trop rock,9394,849,Atmospheric/Calm
flint hip hop,7422,1058,Atmospheric/Calm
trot,11280,508,Atmospheric/Calm
rock alternativo espanol,6026,348,Deep/Acoustic
virginia metal,9587,205,Deep/Acoustic
lds youth,12536,568,Atmospheric/Calm
chinese bgm,17008,746,Atmospheric/Calm
german viral rap,8397,1157,Atmospheric/Calm
early avant garde,21683,767,Atmospheric/Calm
swedish jazz,17926,721,Atmospheric/Calm
cumbia andina mexicana,10208,1021,Atmospheric/Calm
super eurobeat,2411,795,Atmospheric/Calm
novelty,13733,965,Atmospheric/Calm
russian metal,6149,249,Deep/Acoustic
witch house,5026,384,Deep/Acoustic
acoustic chill,16114,788,Atmospheric/Calm
african rock,6370,566,Atmospheric/Calm
tribal house,865,1184,Atmospheric/Calm
space age pop,17266,739,Atmospheric/Calm
uzbek pop,5830,887,Atmospheric/Calm
finnish heavy metal,4646,227,Deep/Acoustic
popping,4267,1146,Atmospheric/Calm
glitch,10664,646,Atmospheric/Calm
zouk,2862,1004,Atmospheric/Calm
kawaii future bass,2805,705,Atmospheric/Calm
musica alagoana,11066,881,Atmospheric/Calm
louisiana blues,16248,907,Atmospheric/Calm
rap cristao,9504,1041,Atmospheric/Calm
hip-hop experimental,5806,969,Atmospheric/Calm
norwegian metal,9206,108,Deep/Acoustic
klubowe,1636,1071,Atmospheric/Calm
progressive jazz fusion,11771,510,Atmospheric/Calm
5th wave emo,9045,331,Deep/Acoustic
dansktop,12388,765,Atmospheric/Calm
swiss pop,4583,802,Atmospheric/Calm
himachali pop,7851,841,Atmospheric/Calm
bongo flava,9418,1077,Atmospheric/Calm
deep chill,4123,949,Atmospheric/Calm
musica coahuilense,8939,1108,Atmospheric/Calm
eurobeat,1885,583,Atmospheric/Calm
braindance,3478,961,Atmospheric/Calm
melodic hardcore,8693,245,Deep/Acoustic
latin funk,7459,984,Atmospheric/Calm
modern jazz piano,18907,741,Atmospheric/Calm
asbury park indie,10501,512,Atmospheric/Calm
speed up brasileiro,7655,1106,Atmospheric/Calm
rap anime,9706,996,Atmospheric/Calm
czech folk,14503,716,Atmospheric/Calm
trance brasileiro,1515,1150,Atmospheric/Calm
pub rock,9390,563,Atmospheric/Calm
czech pop rock,5172,599,Atmospheric/Calm
australian underground hip hop,9755,1030,Atmospheric/Calm
slovak pop,10288,633,Atmospheric/Calm
lds,18030,402,Atmospheric/Calm
modern melodic hardcore,7804,227,Deep/Acoustic
salsa choke,3519,1223,Atmospheric/Calm
relaxative,16715,756,Atmospheric/Calm
south african pop dance,3037,998,Atmospheric/Calm
birmingham hip hop,12363,1051,Atmospheric/Calm
ukrainian indie,8075,692,Atmospheric/Calm
australian americana,12835,655,Atmospheric/Calm
emo trap en espanol,5945,772,Atmospheric/Calm
shabad,16014,847,Atmospheric/Calm
organic ambient,19487,67,Deep/Acoustic
thai folk pop,9945,694,Atmospheric/Calm
gabber,2177,630,Atmospheric/Calm
bruneian pop,8338,700,Atmospheric/Calm
acoustic punk,12621,721,Atmospheric/Calm
hardcore,10415,321,Deep/Acoustic
j-reggae,5212,996,Atmospheric/Calm
flute rock,13035,422,Atmospheric/Calm
dreampunk,13238,266,Deep/Acoustic
magyar alternative,6891,519,Atmospheric/Calm
norwegian country,9118,639,Atmospheric/Calm
maskandi,3419,973,Atmospheric/Calm
banda carnavalera,12961,965,Atmospheric/Calm
afro drill,7989,1152,Atmospheric/Calm
mathcore,10477,181,Deep/Acoustic
zouk riddim,5375,990,Atmospheric/Calm
groove room,1109,1256,Atmospheric/Calm
israeli singer-songwriter,14009,659,Atmospheric/Calm
nu gabber,2216,925,Atmospheric/Calm
australian garage punk,8148,270,Deep/Acoustic
latin soundtrack,16657,298,Deep/Acoustic
cologne hip hop,9394,1075,Atmospheric/Calm
cante flamenco,19416,851,Atmospheric/Calm
bouncy house,1403,925,Atmospheric/Calm
brazilian bass,1245,1263,Atmospheric/Calm
san marcos tx indie,10818,540,Atmospheric/Calm
dominican pop,9076,988,Atmospheric/Calm
deconstructed club,8702,596,Atmospheric/Calm
japanese shoegaze,6604,244,Deep/Acoustic
azeri rap,10508,1026,Atmospheric/Calm
tolkien metal,8074,142,Deep/Acoustic
shred,7322,327,Deep/Acoustic
icelandic singer-songwriter,13540,591,Atmospheric/Calm
talentschau,10147,718,Atmospheric/Calm
rap lyonnais,8359,1119,Atmospheric/Calm
classic czech pop,13850,624,Atmospheric/Calm
psychobilly,9206,429,Atmospheric/Calm
indian rock,7532,663,Atmospheric/Calm
country blues,20193,1092,Atmospheric/Calm
tango,20397,913,Atmospheric/Calm
hurdy-gurdy,9884,350,Deep/Acoustic
tone,19375,158,Deep/Acoustic
deep rai,5880,847,Atmospheric/Calm
math rock,11563,475,Atmospheric/Calm
viet chill rap,11041,939,Atmospheric/Calm
yodeling,18498,895,Atmospheric/Calm
malang indie,6879,495,Atmospheric/Calm
reggae gaucho,6336,992,Atmospheric/Calm
chilean hardcore,5361,571,Atmospheric/Calm
swedish garage rock,8849,277,Deep/Acoustic
hyperpop francais,6384,802,Atmospheric/Calm
ukg revival,2162,1268,Atmospheric/Calm
symphonic black metal,8419,101,Deep/Acoustic
classic greek pop,15398,736,Atmospheric/Calm
finnish melodeath,4759,131,Deep/Acoustic
techno kayo,7198,772,Atmospheric/Calm
rap baixada fluminense,12191,998,Atmospheric/Calm
shonen,6051,327,Deep/Acoustic
electroclash,1914,953,Atmospheric/Calm
karneval,7594,763,Atmospheric/Calm
nashville indie,9664,460,Atmospheric/Calm
zxc,4822,799,Atmospheric/Calm
mande pop,12413,955,Atmospheric/Calm
finnish alternative rock,5143,339,Deep/Acoustic
ukrainian hip hop,8853,1058,Atmospheric/Calm
latintronica,4413,1038,Atmospheric/Calm
german hyperpop,5224,799,Atmospheric/Calm
r&b italiano,8564,828,Atmospheric/Calm
italian techno,463,1261,Unknown
bosnian pop,8897,624,Atmospheric/Calm
lithuanian edm,2206,1075,Atmospheric/Calm
belarusian indie,6518,588,Atmospheric/Calm
lambadao,5618,1180,Atmospheric/Calm
praise,12166,583,Atmospheric/Calm
papuri,12130,466,Atmospheric/Calm
ebm,1826,680,Atmospheric/Calm
brazilian boogie,10920,903,Atmospheric/Calm
dutch tech house,584,1347,Unknown
circuit,801,1157,Atmospheric/Calm
punjabi lo-fi,8533,746,Atmospheric/Calm
christian lo-fi,13299,935,Atmospheric/Calm
ukrainian classical,22501,312,Deep/Acoustic
chamber psych,10048,515,Atmospheric/Calm
vocal harmony group,19500,901,Atmospheric/Calm
pakistani indie,9453,633,Atmospheric/Calm
experimental classical,19521,218,Deep/Acoustic
cumbia colombiana regia,9319,1126,Atmospheric/Calm
polish reggae,5362,856,Atmospheric/Calm
german worship,11553,621,Atmospheric/Calm
puirt-a-beul,19813,454,Atmospheric/Calm
fantasy,14439,335,Deep/Acoustic
reading indie,5790,392,Deep/Acoustic
russian indie,6148,588,Atmospheric/Calm
electro bailando,2715,1077,Atmospheric/Calm
disco polo,1208,1123,Atmospheric/Calm
seiyu,3390,458,Atmospheric/Calm
messianic praise,12658,412,Atmospheric/Calm
batak,7755,544,Atmospheric/Calm
indie catala,11019,627,Atmospheric/Calm
dutch r&b,8540,939,Atmospheric/Calm
turk sanat muzigi,18060,386,Deep/Acoustic
perth indie,9266,481,Atmospheric/Calm
chinese melodic rap,6587,943,Atmospheric/Calm
oktoberfest,4442,763,Atmospheric/Calm
belarusian hip hop,8702,990,Atmospheric/Calm
fogo pentecostal,9218,716,Atmospheric/Calm
ethnotronica,1453,1285,Atmospheric/Calm
polish punk,7335,427,Atmospheric/Calm
microtonal,16260,429,Atmospheric/Calm
cumbia ecuatoriana,11754,1062,Atmospheric/Calm
anime piano,16657,646,Atmospheric/Calm
russian modern classical,21547,386,Deep/Acoustic
japanese piano,19645,519,Atmospheric/Calm
swedish dancehall,5440,1110,Atmospheric/Calm
swedish reggae,6639,1088,Atmospheric/Calm
austin americana,12326,667,Atmospheric/Calm
indie rockism,3945,433,Atmospheric/Calm
euskal rock,8346,512,Atmospheric/Calm
rap antillais,10283,1045,Atmospheric/Calm
italian reggae,4425,1075,Atmospheric/Calm
high-tech minimal,804,1350,Atmospheric/Calm
ambient house,6409,744,Atmospheric/Calm
world fusion,6581,772,Atmospheric/Calm
deep tech house,190,1360,Hyper/Electronic
rap siciliano,8816,963,Atmospheric/Calm
pop worship,9761,360,Deep/Acoustic
moldovan pop,3887,746,Atmospheric/Calm
new italo disco,906,895,Atmospheric/Calm
chill beats,4248,979,Atmospheric/Calm
west end,17446,479,Atmospheric/Calm
melodic deathcore,5578,185,Deep/Acoustic
south african alternative,7421,802,Atmospheric/Calm
syrian pop,13309,636,Atmospheric/Calm
turkish modern jazz,14872,716,Atmospheric/Calm
uk post-punk revival,6468,431,Atmospheric/Calm
instrumental soul,13875,988,Atmospheric/Calm
classic finnish pop,14439,716,Atmospheric/Calm
furry,7014,689,Atmospheric/Calm
shatta,7142,1159,Atmospheric/Calm
musica gaucha,6563,975,Atmospheric/Calm
christian afrobeat,7704,927,Atmospheric/Calm
workout product,914,1223,Atmospheric/Calm
indie extremena,6358,512,Atmospheric/Calm
slovak rock,6411,646,Atmospheric/Calm
british jazz,16540,736,Atmospheric/Calm
russian punk rock,5623,519,Atmospheric/Calm
ragga jungle,2119,1108,Atmospheric/Calm
oldschool deutschrap,9406,1064,Atmospheric/Calm
no wave,10325,561,Atmospheric/Calm
orchestra,19871,227,Deep/Acoustic
california hardcore,11355,272,Deep/Acoustic
concurso de talentos argentino,11605,677,Atmospheric/Calm
swiss indie,8224,703,Atmospheric/Calm
british power metal,4688,194,Deep/Acoustic
tanzanian pop,11240,1066,Atmospheric/Calm
christelijk,14080,412,Atmospheric/Calm
surf music,12823,788,Atmospheric/Calm
lithuanian electronic,2091,1126,Atmospheric/Calm
honky tonk,16952,856,Atmospheric/Calm
jump up,1622,1015,Atmospheric/Calm
rap romantico,12016,1043,Atmospheric/Calm
funktronica,2688,957,Atmospheric/Calm
thai indie,6166,697,Atmospheric/Calm
san diego rap,8164,1097,Atmospheric/Calm
j-punk,7383,312,Deep/Acoustic
smutny rap,7140,935,Atmospheric/Calm
atlanta metal,5978,201,Deep/Acoustic
mundart,9002,874,Atmospheric/Calm
metal cover,3361,329,Deep/Acoustic
finnish death metal,6027,127,Deep/Acoustic
leicester indie,7461,454,Atmospheric/Calm
apostolic worship,11093,431,Atmospheric/Calm
montreal indie,9776,646,Atmospheric/Calm
chanson paillarde,13782,1015,Atmospheric/Calm
sevdah,13084,524,Atmospheric/Calm
gypsy jazz,18966,1119,Atmospheric/Calm
hardvapour,11043,700,Atmospheric/Calm
boston metal,9303,167,Deep/Acoustic
brega saudade,7520,843,Atmospheric/Calm
timba,12822,1040,Atmospheric/Calm
delta blues,19988,1101,Atmospheric/Calm
speed up turkce,8888,883,Atmospheric/Calm
pinoy idol pop,4726,849,Atmospheric/Calm
musica cristiana guatemalteca,11567,891,Atmospheric/Calm
pirate,8013,412,Atmospheric/Calm
funky house,684,1285,Atmospheric/Calm
scottish indie rock,5297,372,Deep/Acoustic
techno,1048,1180,Atmospheric/Calm
southern gospel,13908,530,Atmospheric/Calm
dariacore,4734,703,Atmospheric/Calm
russian witch house,3565,462,Atmospheric/Calm
baglama,16699,718,Atmospheric/Calm
classic bhangra,8728,980,Atmospheric/Calm
britpop revival,4997,268,Deep/Acoustic
pinoy indie rock,9478,593,Atmospheric/Calm
khaleeji iraqi,11655,751,Atmospheric/Calm
hawaiian,16189,561,Atmospheric/Calm
czech classical,22086,291,Deep/Acoustic
free jazz,18323,718,Atmospheric/Calm
acid house,1467,1110,Atmospheric/Calm
neo-traditional bluegrass,13626,697,Atmospheric/Calm
trap beats,2606,1205,Atmospheric/Calm
huayno,14687,941,Atmospheric/Calm
shibuya-kei,5314,770,Atmospheric/Calm
denpa-kei,2776,526,Atmospheric/Calm
atlanta bass,2791,1182,Atmospheric/Calm
french death metal,8491,167,Deep/Acoustic
norwegian black metal,10514,53,Deep/Acoustic
comedie musicale,8485,630,Atmospheric/Calm
deathstep,4237,604,Atmospheric/Calm
nz hip hop,5830,1055,Atmospheric/Calm
adventista,13861,445,Atmospheric/Calm
japanese drill,5076,1049,Atmospheric/Calm
finnish edm,1654,795,Atmospheric/Calm
barcadi,1294,1340,Atmospheric/Calm
cocuk sarkilari,15897,604,Atmospheric/Calm
underground power pop,8420,458,Atmospheric/Calm
indonesian indie rock,5740,308,Deep/Acoustic
funk melody,2977,1071,Atmospheric/Calm
deep minimal techno,219,1372,Hyper/Electronic
atmospheric black metal,10342,50,Deep/Acoustic
musica llanera,16202,1004,Atmospheric/Calm
nasyid,12709,593,Atmospheric/Calm
